Distributed;Prioritized;CBS
196;120;116
119;70;69
91;55;54
133;81;75
105;59;59
168;79;76
56;34;34
112;68;67
287;99;92
140;60;58
98;68;68
133;63;63
105;78;77
154;69;69
105;52;43
126;59;59
77;59;57
175;72;68
140;81;80
126;60;60
168;74;74
98;63;63
112;50;50
161;70;66
140;72;72
105;71;68
280;96;94
161;101;101
154;82;82
119;57;57
105;72;71
147;96;92
154;63;63
105;74;73
154;85;81
133;69;68
77;48;48
168;92;86
91;79;79
217;109;102
161;77;77
112;67;67
168;76;76
98;56;54
112;73;70
112;68;67
154;76;76
140;78;76
84;60;56
119;69;69
133;86;86
112;87;86
161;90;90
147;79;78
133;79;79
112;77;66
91;61;61
133;71;71
161;79;79
182;93;91
140;72;72
126;66;66
126;46;46
70;46;52
147;85;83
133;81;81
140;66;58
175;76;75
98;47;43
91;58;58
112;62;61
126;61;60
203;73;73
182;97;95
84;54;53
70;52;51
147;86;86
147;86;86
133;66;66
182;81;81
112;85;83
245;88;81
133;80;71
119;69;69
112;86;81
126;93;84
182;74;71
105;53;50
231;63;63
105;64;58
91;61;61
126;97;93
210;125;125
147;81;77
161;89;82
98;58;58
175;88;86
154;83;83
98;52;52
154;89;81
98;76;75
126;83;83
70;52;52
154;77;72
119;57;57
147;77;77
77;44;44
119;65;65
119;83;81
84;56;55
112;67;63
133;68;65
147;85;84
154;74;73
98;56;54
231;82;82
119;80;76
112;72;68
77;48;48
112;66;63
140;88;88
154;72;72
168;108;105
147;89;86
154;100;91
140;68;68
119;64;64
147;101;101
119;68;68
154;70;69
84;60;57
133;88;85
112;82;71
119;59;58
126;64;64
77;53;53
133;61;61
154;69;69
133;83;83
63;38;37
126;58;57
140;77;73
105;67;65
84;52;52
161;114;105
154;99;89
112;62;60
63;31;31
105;59;57
168;44;44
98;49;49
133;66;66
133;95;95
147;68;66
140;93;93
126;88;87
119;63;63
175;103;98
154;74;71
105;62;61
119;84;82
126;86;86
133;59;56
133;82;82
147;81;79
154;79;79
133;86;84
126;57;57
119;97;89
189;102;100
91;56;54
119;78;67
105;69;61
217;93;93
98;62;56
133;76;76
147;97;91
154;92;89
112;53;53
140;77;76
140;63;63
147;86;86
182;86;84
119;75;74
140;86;85
140;77;77
112;66;63
70;37;35
154;65;65
98;51;50
154;72;71
126;80;78
154;82;80
133;62;62
154;66;66
266;86;81
70;47;46
161;76;76
182;80;79
161;72;72
98;65;63
112;66;60
140;83;79
119;73;72
168;89;84
98;60;57
140;89;88
147;73;72
147;82;82
182;72;70
70;55;55
189;68;68
105;55;51
189;115;106
161;101;93
182;91;89
203;103;102
91;50;44
119;79;67
182;92;90
147;80;78
119;62;60
112;71;69
91;62;61
98;82;77
140;62;62
112;44;41
112;69;69
175;62;54
273;76;76
140;84;82
147;74;68
161;75;75
84;50;49
189;60;60
126;66;63
203;86;81
161;80;79
119;62;61
126;66;64
231;79;74
119;86;84
119;75;74
154;94;92
140;68;64
126;76;69
133;55;54
84;44;41
119;77;77
133;69;66
105;69;64
147;89;79
126;61;58
147;89;87
98;56;56
112;54;52
112;67;67
154;81;81
126;83;81
119;68;67
259;93;87
161;94;94
112;64;64
168;102;94
112;66;66
112;74;74
119;98;90
140;65;64
140;68;68
140;63;60
119;72;66
147;99;99
168;64;62
147;93;92
119;100;82
119;87;87
154;98;97
147;100;98
105;52;52
119;62;60
133;79;73
133;83;81
112;48;48
196;87;82
210;83;80
84;35;35
126;52;52
119;58;58
112;73;72
147;70;70
126;71;66
112;76;75
168;78;77
175;95;91
119;74;71
154;75;75
182;84;83
126;55;55
126;84;83
98;65;57
84;53;53
140;90;89
126;56;56
133;54;54
140;89;87
161;79;78
119;83;79
147;74;70
91;56;55
112;68;68
147;83;80
126;73;72
133;68;68
182;98;96
140;74;70
133;75;75
105;76;74
91;58;56
161;76;76
147;84;83
84;39;39
140;86;86
140;76;76
133;60;57
126;85;81
147;90;90
161;87;78
112;66;66
147;80;76
77;67;59
112;77;74
133;64;60
105;66;65
91;68;61
154;91;91
196;96;94
140;89;89
105;68;63
147;86;85
112;74;70
105;82;81
147;78;78
119;58;58
231;95;77
98;54;54
77;53;50
147;77;77
140;72;65
182;109;108
126;59;59
189;92;92
147;75;69
140;82;78
140;80;73
105;56;56
126;87;83
161;68;68
147;91;90
168;81;75
119;55;54
161;89;88
133;90;82
112;80;80
140;83;83
133;76;75
112;77;76
161;104;99
154;75;75
175;84;84
168;87;80
161;88;86
133;67;67
126;77;73
140;96;87
105;57;56
91;60;59
147;101;93
98;78;77
196;86;86
105;69;69
140;65;65
77;54;54
112;70;55
126;87;86
154;80;79
161;96;90
147;89;88
126;89;87
112;70;68
91;62;62
168;97;95
203;78;75
154;59;58
259;78;74
112;77;77
147;78;78
105;68;68
196;105;94
140;67;66
126;73;71
133;52;52
77;57;57
98;61;60
140;83;83
91;57;57
252;102;102
161;81;81
133;71;71
161;91;90
154;83;83